rater_id,source_file,sheet,excel_row,paper,source_true,item_id,paper_item_no,match_score,item_type_from_sheet,question_text_from_sheet,qgeval_total,qgeval_score_5,llm_total,llm_score_5,quality_score_5,source_guess,qg_fluency,qg_clarity,qg_conciseness,qg_relevance,qg_consistency,qg_answerability,qg_answer_consistency,llm_fluency,llm_exclusiveness,llm_explicitness,llm_goal_alignment,llm_comprehensiveness,llm_focus,llm_guess_resistance,llm_completeness,llm_correctness,llm_solvability,llm_absoluteness,llm_plausibility,llm_reasoning,llm_feedback,llm_fairness,llm_explanation_score
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,3,P,Human,H003,3,1.0,A1,"3、前列腺增生症最早出现的症状往往是:（A）【单选题】
A. 尿频
B. 排尿困难
C. 血尿
D. 尿痛
E. 尿急",35,5.0,64,4.0,4.304347826086956,Human,5,5,5,5,5,5,5,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,4,P,Human,H004,4,0.991150442477876,,"4、不能行前列腺按摩取前列腺液检查的是（C）。【单选题】   
A. 前列腺癌  
B. 前列腺结核  
C. 急性前列腺炎  
D. 前列腺增生  
E. 慢性细菌性前列腺炎 ",34,4.857142857142857,53,3.3125,3.782608695652174,Human,5,5,5,4,5,5,5,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,5,P,Human,H005,5,0.9782608695652174,,"5、判断前列腺大小较准确的检查方法是（B）。 【单选题】 
A. 残余尿测定  
B.  B超  
C. 膀胱造影  
D. 直肠指诊  
E  膀胱镜检查  ",34,4.857142857142857,59,3.6875,4.043478260869565,Human,5,5,5,4,5,5,5,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,6,P,Human,H016,16,1.0,,"14. 下列为前列腺增生患者储尿期症状的是？（A）【单选题】
A. 夜尿增多
B. 尿无力
C. 尿线变细
D. 尿不尽感
E. 尿等待  ",34,4.857142857142857,60,3.75,4.086956521739131,MAS,5,5,5,4,5,5,5,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,7,P,Human,H017,17,1.0,,"15. 内分泌治疗可用于治疗哪种肿瘤？（C）【单选题】
A. 膀胱癌
B. 肾上腺皮质癌
C. 前列腺癌
D. 睾丸癌
E. 肾癌",34,4.857142857142857,61,3.8125,4.130434782608695,Human,5,5,5,4,5,5,5,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,8,P,Human,H020,20,1.0,,"16.泌尿系感染首选哪种抗生素?（A）【单选题】
A. 喹诺酮类
B. 大环内酯类
C. 磺胺类
D. β-内酰胺类
E. 氨基糖苷类",34,4.857142857142857,58,3.625,4.0,Human,5,5,5,5,5,5,4,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,9,P,Human,H008,8,1.0,,"17.膀胱结石典型的临床表现是（E）【单选题】
A. 膀胱刺激征
B. 进行性排尿困难
C. 血尿
D. 腰痛，血尿，脓尿
E. 尿流中断，改变体位后好转",35,5.0,58,3.625,4.043478260869565,Human,5,5,5,5,5,5,5,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,10,P,Human,H001,1,1.0,A2,"1.患者男，81岁，因排尿困难伴尿痛2月余入院。患者2月余前无明显诱因下突然出现排尿困难，尿流细，时有中断，用力仍不能顺利排尿，并伴有下腹及阴茎胀痛，头痛、冷汗，同时出现尿频尿急夜尿增多，约1小时1次，每次尿少，偶有尿失禁，无肉眼血尿。外院予坦索罗辛治疗效果不明显。膀胱镜示多发赘生物，前列腺增生凸向尿道。20年前患者曾两次因前列腺增生行手术治疗。最有可能进行以下哪项治疗？（D）【单选题】
A. 留置导尿管，改用特拉唑嗪
B. 留置尿管，联用非那雄胺
C. 留置尿管，行TURP
D. 膀胱造瘘，行TURP
E. 留置尿管，行根治性膀胱全切术",25,3.571428571428572,57,3.5625,3.565217391304348,MAS,4,3,5,3,3,3,4,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,11,P,Human,H002,2,1.0,,"2.患者男，68岁。因“体重进行性下降、排尿困难半年余""入院。外院查PSA 11.42ng/ml，无肉眼血尿，无腰背酸胀等不适。既往无殊。对于该患者最有可能的疾病，最常见的远处转移部位是:（D）【单选题】
A. 肺
B. 肝
C. 膀胱
D. 骨骼
E. 肾上腺",35,5.0,62,3.875,4.217391304347826,MAS,5,5,5,5,5,5,5,5,5,4,5,2,4,4,5,5,5,5,3,1,3,3,3
expert1_ai_expert_ratings_clea,expert1_ai_expert_ratings_cleaned.xlsx,P,12,P,Human,H006,6,1.0,,"6、男性，70岁，进行性排尿困难5年，加重2月，药物治疗无效。B超提示前列腺增大，残余尿量110ml，双肾无积水，最大尿流率10ml/s。目前首选的治疗方法是？（D）【单选题】
A. 耻骨后前列腺切除
B. 耻骨上经膀胱前列腺切除
C. 耻骨上膀胱造瘘
D. 经尿道前列腺电切术
E. 开放性前列腺摘除术",35,5.0,61,3.8125,4.173913043478261,Human,5,5,5,5,5,5,5,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3
