family,dimension,source,max_score,count,mean_raw_score,sd_raw_score,mean_score_5,sd_score_5,any_score_capped_to_max
QGval,Answer consistency,Human,5,70,4.89047619047619,0.22501693313579232,4.89047619047619,0.22501693313579232,False
QGval,Answer consistency,MAS,5,70,4.947619047619047,0.2577976480288222,4.947619047619047,0.2577976480288222,False
QGval,Answerability,Human,5,70,4.980952380952381,0.09640417945040007,4.980952380952381,0.09640417945040007,False
QGval,Answerability,MAS,5,70,5.0,0.0,5.0,0.0,False
QGval,Clarity,Human,5,70,4.933333333333333,0.2512448876271439,4.933333333333333,0.2512448876271439,False
QGval,Clarity,MAS,5,70,4.985714285714286,0.06799910688326721,4.985714285714286,0.06799910688326721,False
QGval,Conciseness,Human,5,70,4.928571428571429,0.18730100244378853,4.928571428571429,0.18730100244378853,False
QGval,Conciseness,MAS,5,70,4.847619047619047,0.2581097788248361,4.847619047619047,0.2581097788248361,False
QGval,Consistency,Human,5,70,4.9714285714285715,0.13599821376653468,4.9714285714285715,0.13599821376653468,False
QGval,Consistency,MAS,5,70,5.0,0.0,5.0,0.0,False
QGval,Fluency,Human,5,70,4.928571428571429,0.1784966487085518,4.928571428571429,0.1784966487085518,False
QGval,Fluency,MAS,5,70,4.961904761904762,0.14516199117089637,4.961904761904762,0.14516199117089637,False
QGval,Relevance,Human,5,70,4.923809523809524,0.18968087931796396,4.923809523809524,0.18968087931796396,False
QGval,Relevance,MAS,5,70,4.957142857142857,0.11238060146627311,4.957142857142857,0.11238060146627311,False
ULM,Absoluteness,Human,5,70,4.957142857142857,0.11238060146627313,4.957142857142857,0.11238060146627313,False
ULM,Absoluteness,MAS,5,70,4.985714285714286,0.08856912810447053,4.985714285714286,0.08856912810447053,False
ULM,Completeness,Human,5,70,4.9714285714285715,0.17713825620894108,4.9714285714285715,0.17713825620894108,False
ULM,Completeness,MAS,5,70,4.585714285714285,0.7727978203446971,4.585714285714285,0.7727978203446971,False
ULM,Comprehensiveness,Human,5,70,2.5047619047619047,0.6105430573978695,2.5047619047619047,0.6105430573978695,False
ULM,Comprehensiveness,MAS,5,70,2.8095238095238093,0.7078383972965657,2.8095238095238093,0.7078383972965657,False
ULM,Correctness,Human,5,70,4.985714285714286,0.11952286093343924,4.985714285714286,0.11952286093343924,False
ULM,Correctness,MAS,5,70,4.995238095238095,0.03984095364447974,4.995238095238095,0.03984095364447974,False
ULM,Exclusiveness,Human,5,70,4.9190476190476184,0.25018971407648977,4.9190476190476184,0.25018971407648977,False
ULM,Exclusiveness,MAS,5,70,4.876190476190476,0.22821458226887364,4.876190476190476,0.22821458226887364,False
ULM,Explanation score,Human,5,70,4.057142857142857,0.4283489952640619,4.057142857142857,0.4283489952640619,False
ULM,Explanation score,MAS,5,70,4.219047619047619,0.28873489551763387,4.219047619047619,0.28873489551763387,False
ULM,Explicitness,Human,4,70,3.342857142857143,0.26601023415366565,4.178571428571429,0.33251279269208245,False
ULM,Explicitness,MAS,4,70,3.3095238095238098,0.22213593908085214,4.136904761904763,0.27766992385106476,False
ULM,Fairness,Human,3,70,3.0095238095238095,0.07968190728895957,5.0,0.0,True
ULM,Fairness,MAS,3,70,3.0,0.0,5.0,0.0,False
ULM,Feedback,Human,5,70,3.552380952380952,0.4165872940272824,3.552380952380952,0.4165872940272824,False
ULM,Feedback,MAS,5,70,3.9047619047619047,0.23496912561674715,3.9047619047619047,0.23496912561674715,False
ULM,Fluency,Human,5,70,4.942857142857143,0.16998085116581502,4.942857142857143,0.16998085116581502,False
ULM,Fluency,MAS,5,70,4.90952380952381,0.18754648223779083,4.90952380952381,0.18754648223779083,False
ULM,Focus,Human,5,70,4.447619047619047,0.3802097661799304,4.447619047619047,0.3802097661799304,False
ULM,Focus,MAS,5,70,4.509523809523809,0.3246275138898844,4.509523809523809,0.3246275138898844,False
ULM,Goal alignment,Human,5,70,4.966666666666667,0.12878723294162364,4.966666666666667,0.12878723294162364,False
ULM,Goal alignment,MAS,5,70,4.761904761904762,0.2956629993011293,4.761904761904762,0.2956629993011293,False
ULM,Guess resistance,Human,5,70,4.1571428571428575,0.238901326974895,4.1571428571428575,0.238901326974895,False
ULM,Guess resistance,MAS,5,70,4.376190476190476,0.21921708570461929,4.376190476190476,0.21921708570461929,False
ULM,Plausibility,Human,5,70,3.638095238095238,0.5035873152045897,3.638095238095238,0.5035873152045897,False
ULM,Plausibility,MAS,5,70,3.942857142857143,0.36325345295469097,3.942857142857143,0.36325345295469097,False
ULM,Reasoning,Human,4,70,2.3142857142857145,0.6002836535241408,2.892857142857143,0.7503545669051759,False
ULM,Reasoning,MAS,4,70,2.4285714285714284,0.6449178433061663,3.0357142857142856,0.8061473041327076,False
ULM,Solvability,Human,5,70,4.9904761904761905,0.07968190728895957,4.9904761904761905,0.07968190728895957,False
ULM,Solvability,MAS,5,70,4.976190476190476,0.16370733648032787,4.976190476190476,0.16370733648032787,False
