file,fonts,ok_dejavu,has_type3
Figure1A_workflow_inputs.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure1B_safety_gate.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure1C_two_sequence_order.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure1D_training_setting.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure1E_endpoint_domains.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure2A_quality_difference.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure2B_dimension_scores.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure2C_defect_flags.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure2D_defect_workflow.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure2E_run_consistency.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure3A_quality_by_cognitive_level.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure3B_defect_risk_by_cognitive_level.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure3C_student_accuracy_by_cognitive_level.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure3D_source_cognitive_interaction.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure3E_ctt_by_cognitive_level.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4A_source_detection_accuracy.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4B_source_judgment_confusion_matrix.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4C_source_task_ratings.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4D_workflow_total_time.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4E_quality_adjusted_time.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure4F_efficiency_sensitivity.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure5A_order_schema.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure5B_paired_block_scores.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure5C_individual_differences_by_sequence.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure5D_adjusted_correct_rate_difference.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
Figure5E_setting_stratified_differences.pdf,BMQQDV+DejaVuSans;EVICAO+DejaVuSans-Bold,True,False
